Exchange, ExchangeFullName, ExchangeTimeZone, Id, MarketState, RegularMarketChangePercent, RegularMarketPrice, RegularMarketTime, RegularMarketVolume, Symbol
WCB, Chicago Options, EDT, , POST, -0.27111632, 2.207, 1497380399, , ^TNX
TSI, Toronto, EDT, 68ad81ac-8b2a-355b-ad98-7242ced6d258, POSTPOST, -0.026325125, 15379.75, 1497385200, 222944685, ^GSPTSE
HKG, HKSE, HKT, c4ab1140-6f2d-3df7-8c46-387d4af7ce16, PREPRE, 0.5603716, 25852.1, 1497341402, 0, ^HSI
TAI, Taiwan, CST, ebc9c117-f29c-3fb3-a797-33fd146b2943, PREPRE, 0.17992583, 10128.15, 1497331870, 0, ^TWII
PAR, Paris, CEST, , POSTPOST, 0.42396113, 1016.17, 1497369901, 0, ^N100
FGI, FTSE Index, BST, , POSTPOST, -0.3442844, 3308.48, 1467271795, 0, JN0U.FGI
OSA, Osaka, JST, e519abb2-a3d5-3b5d-836f-9986482f8b3e, PREPRE, -0.049376085, 19898.75, 1497334502, 0, ^N225
CMX, COMEX, EDT, , REGULAR, -0.031525288, 1268.5, 1497387597, , GC=F
NZE, NZSE, NZST, e1a17ca1-7942-3cd7-b953-ed4b9f699b06, PRE, 0.09875017, 7440.08, 1497332638, 0, ^NZ50
DJI, DJI, EDT, fc24b2b0-ced7-33cc-9057-0b6d90973fc4, POST, 0.43700427, 21328.47, 1497386258, 323510128, ^DJI
TLV, Tel Aviv, IDT, 09c0e6a6-7f4a-36c5-94c4-d8f8a044af5d, PREPRE, 0.6678004, 1288.88, 1497363864, 0, ^TA100
KSC, KSE, KST, c4335b7a-e5d9-3ebb-b7ba-8b7f136b60be, PREPRE, 0.7137728, 2374.7, 1497344620, 322081, ^KS11
WCB, Chicago Options, EDT, 3242ad08-0a9e-3780-9a97-33cd6d95cbba, POST, -9.075044, 10.42, 1497384890, 0, ^VIX
NIM, Nasdaq GIDS, EDT, 6b51a47d-53e9-30d4-8a47-289ac3188b0f, POST, 0.72714037, 6220.369, 1497388559, 1679560902, ^IXIC
SES, SES, SGT, bc670a97-5274-3fbd-ad24-0353d487123e, PREPRE, 0.28260377, 3257.52, 1497345000, 0, ^STI
MCX, MCX, MSK, , PREPRE, -1.1718514, 1861.27, 1497369040, 0, MICEXINDEXCF.ME
CAI, EGX, EET, , POSTPOST, 0.2920227, 13531.3, 1497353390, 327174000, ^CASE30
CCY, CCY, BST, , REGULAR, 0.60836154, 1.2753963, 1497389580, , GBPUSD=X
SHH, Shanghai, CST, 234a3d09-c30e-3c89-b58c-466d691d7551, PREPRE, 0.44161642, 3153.743, 1497337214, 4241893308, 000001.SS
CCY, CCY, BST, , REGULAR, 0.12831135, 110.035, 1497389581, , JPY=X
MEX, Mexico, CDT, b2e074c8-c0da-362b-9a97-48e85de1b5a4, POSTPOST, -0.20748252, 49026.83, 1497384961, 135839835, ^MXX
SAO, Sao Paolo, BRT, d9d25d96-d9ea-3b77-bca7-9e274228b02e, POSTPOST, 0.2086892, 61828.992, 1497385260, 0, ^BVSP
